0-3909|2, 3, 353, 335, 396|1589, 2
45-1770|247, 1060, 939|206, 14, 1576, 130, 1901, 5, 1266, 1094, 926, 84
46-801|582, 1183|582, 1309, 245, 551, 189, 319, 1292, 965, 1094
47-212|343, 348, 85, 154, 2567, 1185, 147, 970, 64, 422, 296, 1190, 22|22, 343, 344, 342, 341, 147, 107, 297, 1341
48-233|47, 353|47, 374, 49, 370, 67, 372, 246, 375, 373, 79
49-1422|172, 672, 4, 5|672, 1297, 645, 608, 1060, 5, 172
50-526|247, 621|14, 189, 621, 247, 1631, 267, 461, 13, 3692, 85
51-602|1197|47, 423, 1218, 360, 1217, 1197, 50, 49, 253
52-4083|2553, 467|2782, 2781, 3615
53-14|114, 1200, 609, 49|49, 47, 46, 48, 246, 242, 23, 372, 925, 254
54-83|567|126, 45, 35, 49, 567, 1134, 65, 511, 153, 418
55-1289|141, 45, 733, 242, 167|68, 1256, 242, 800, 45, 141, 1571, 733, 2154, 35
56-653|14, 22|22, 582, 363, 698, 111, 64, 357, 445, 295, 21
57-1477|1202|1923
58-1189|1077, 282, 342, 45, 32|207, 1077, 1383, 282, 418, 342, 45, 2618, 35, 1763
59-109|645|5, 6, 926, 1060, 645, 750, 1094, 311, 1401, 1397
60-2661|179|1923, 2699, 2695
61-1222|707, 217, 1893, 1102, 110|425, 5, 1102, 645, 110, 898, 231, 1891, 245, 1893
62-2076|117, 107, 83, 79, 47, 68, 49|246, 79, 163, 17, 45, 59
63-3503|1053|826
64-1866|898, 706, 1543, 717|1543, 943, 655, 898, 906, 482, 705, 106, 1758, 2836
65-1542|1068, 305, 936|305, 1068, 875
66-361|61, 1689|61, 1427, 63, 45, 72, 6, 524
67-456|79, 84, 278|21, 84, 363, 79, 582, 362, 1634, 1704, 1682, 1707
68-632|106, 305, 936|305, 952, 106, 1260, 684, 163, 685
69-407|50, 51, 487, 1074, 5|5, 487, 50, 794, 51, 580, 634, 52, 557, 556
70-3875|239, 249, 14, 1678|2579
71-607|62, 1266, 560, 1268, 311|560, 512, 2
72-1370|271, 1274, 225, 963, 812, 500, 273, 1150, 1181|1150, 1916, 906, 1404, 1149, 717, 1410
73-1966|1285, 1281, 1284, 1280, 1283, 396|1283
74-4039|1286|2749, 1286, 2741, 184
75-2467|1368, 1588, 1292, 1294|1294, 1588, 1307, 1833, 1457, 1368, 1675
76-918|687|354, 517, 342, 1485
77-3340|426, 388, 1332, 553|1956, 553, 426, 1038, 32, 1094
78-984|1207, 768, 85, 198|768, 198, 645, 13, 42, 571, 926, 5, 2603, 1883
79-381|117, 79, 213, 357, 457|79, 84, 1809, 40, 318, 1807, 1631, 1572, 1571, 1492
80-1028|41, 39, 5, 6|206, 39, 242, 933
81-1527|141, 45, 254, 1426|68, 1255, 93, 219
82-110|50, 51, 52, 175|52, 175, 65, 795, 1540, 1549, 174, 173, 308, 2680
83-1105|1339, 1337, 1023, 13|1023, 1337, 13, 1802, 1339, 1604, 117, 45, 1021, 14
84-1475|1341, 188, 22|22, 40, 84, 582, 2630
85-2443|1811, 582, 703, 655, 1534|1811, 655, 412, 1809, 651, 1807, 414
86-268|49|49, 29, 409, 47, 188, 1047, 1717, 1200, 63, 2
87-1641|254, 604, 556, 1219, 26, 42, 1259, 124|319, 1259, 1355, 254, 1353, 1427
88-323|65, 84, 40|65, 40, 84, 479, 14, 478, 107, 102, 473, 721
89-2531|498|98
90-3948|239, 324, 855|1094
91-427|106, 1077, 1060, 1201|47, 49, 45, 130, 5, 1060, 645, 6, 64, 968
92-3302|1240|965, 1094
93-1744|354|1454, 189, 2829, 917, 335, 354, 3692, 29
94-3884|117, 2, 1392, 6, 1393, 1212, 756, 5, 660, 746|3611, 280
95-1145|6, 1099, 5, 418|645, 715, 1048, 35, 5, 1715, 6, 926, 1798, 2671
96-3948|401, 298, 239, 103, 85, 962, 2977|1094
97-388|30, 32|189, 717, 1923, 735, 32, 500, 482, 1005, 1004, 1003
98-780|247, 1397, 645, 14|14, 645, 189, 3694, 267, 461, 13, 3692, 85, 621
99-1953|1398|116, 354, 221, 189, 3697, 3692, 616
100-1424|1401, 323, 5, 6|323, 6, 5, 671, 645, 751, 1060, 1094, 241, 2635
101-2402|181|113, 1099, 50, 512, 1323
102-2027|1416, 60, 774, 206, 1419, 1413|256, 774, 206, 1266, 39, 64, 654
103-2015|342, 38|64, 35, 1608, 253, 1606, 388, 1039
104-804|748, 1437, 339|42, 6, 1589, 67, 222, 32, 779, 45, 1073, 14
105-3882|1440, 107|717, 286, 970, 267, 1399, 14, 461, 3692, 85, 1578
106-460|432, 588, 589|589, 588, 432, 932, 78, 189, 582, 319, 966, 72
107-2486|1448, 1762|1453, 1434, 1844, 1435, 1845
108-1282|565|1556, 565, 811, 794, 641
109-1210|1080, 107, 952, 1462, 1091, 14, 1460, 1466, 1092, 1067|1092, 1091, 1466, 1081, 107, 1079, 2689
110-804|1469|42, 67, 189, 512, 1258, 717, 1060, 1288, 167, 38
111-1360|1580, 1144|1144, 13, 5, 6, 1136
112-1541|137, 2, 935, 1475, 6, 305, 111, 98, 936|98, 111, 305, 6, 935, 2, 137, 1264, 1962, 2580
113-3331|231, 14, 898|14, 1094
114-816|340, 810, 32|128, 628, 32, 810, 112, 340, 781, 809
115-934|1510|527, 898, 1536, 965, 906, 1389, 2114
116-971|903|903, 1045, 1105, 219, 290
117-1597|114, 188, 47, 49|49, 1331, 188, 63, 94, 542, 246, 409, 163, 47
118-845|845|5, 47, 810
119-407|1797, 52, 557, 5|580, 696, 5, 487, 51, 50, 634, 1538, 558, 794
120-1583|1526, 133|116, 2, 1312, 1313, 2519, 498
121-1571|64, 6|6, 64, 1781, 1099
122-205|21, 64, 155|22, 42, 155, 64, 21, 20, 291, 325, 107
123-850|50, 142, 14|156, 50, 14, 242, 142, 849, 848, 844, 846
124-639|59, 499, 49|499, 49, 59, 6, 1776, 1775, 1077, 1489, 1503, 1511
125-1873|1900, 63, 32, 26|63, 32, 1094
126-719|241, 13, 1060|13, 241, 16, 624, 239, 645, 1337, 14, 143, 1471
127-4161|1037, 1267, 1032|1238, 582, 2832, 3674
128-256|725|1094, 22, 336
129-615|673|673, 618, 920, 659, 342, 1292
130-948|903, 266|903, 266, 897, 15, 342
131-385|94, 419|79, 543
132-3564|107, 1557, 1564, 1099, 498, 1566|1099, 1557, 1566, 498, 1564, 107, 634, 2170, 2161, 184
133-1914|835, 2801|1199, 620, 910, 2617
134-1255|1547, 1347|1109, 1389, 2114
135-938|915|299, 565, 737, 2189
136-1421|1582, 645, 939|939, 5, 6, 1060, 717, 970, 3694, 267, 31, 461
137-1188|93|93, 254, 881, 64
138-396|29, 337, 313|932, 538, 189, 1007, 1005, 296, 32, 78, 106, 270
139-4302|3642, 1352, 3643|3643, 3642, 337, 107
140-448|49, 1050, 1382, 79, 388|79, 1382, 47, 38, 1050, 388, 59, 130, 87, 152
141-1193|1595|141, 167, 402, 1597, 728
142-4054|282, 620, 2621, 2607, 1942, 1157|2663, 620, 2840
143-4352|8, 685|
144-1147|774, 206|206, 1049, 39, 1266, 863, 774, 223, 181, 1346, 1699
145-1023|72, 1406, 98, 221|582, 1127, 906, 85, 103, 402, 282, 731, 15, 997
146-1546|1283|1283, 396, 1284, 1280, 1053, 32, 2108, 2107, 733, 117
147-1517|208|796, 52, 1694, 1697, 1389, 2114
148-1704|112, 14|14, 514, 676, 1753, 587, 286, 1060, 207, 1100, 870
149-1777|29, 85|1471, 1094
150-804|45|1073, 14, 222, 32, 779, 45, 42, 67, 1288, 167
151-3508|1613, 1604, 85, 649, 402, 35, 103|35, 402, 156, 1015
152-2028|1606, 466, 1610, 1608, 1029|1608, 1610, 1606, 1425, 1630, 1029, 466
153-435|2151, 47, 68|47, 45, 49, 253, 1049, 371, 654, 879, 609, 67
154-3457|107, 1606, 253, 1608, 1425|103, 342, 85, 45
155-525|107, 1631, 1090, 47, 49|1090, 1631, 1698, 49, 47, 542, 620, 497
156-1344|1649, 135, 47|135, 47, 2688, 1125, 876
157-66|123, 311, 20, 366, 278, 21, 64, 127, 124, 22|22, 123, 124, 64, 0, 21, 20, 396, 2809, 311
158-2044|6|14, 977, 1647
159-2094|193, 1717, 177|177, 858, 1763, 1762
160-1607|188, 189|144, 29, 188, 2, 189, 79, 1813, 1808, 63, 1765
161-1285|335|1425, 254, 1354, 546, 124, 1117
162-222|85, 726, 14, 361|85, 361, 717, 1137, 645, 1060, 1094, 1161
163-1921|341, 154, 1665, 40, 344|188, 644, 94, 2, 835
164-1384|485, 206, 1666, 105, 1236|732, 32, 1060, 105, 206, 1145, 1183, 582
165-3566|128|189, 717, 425, 917, 461, 335, 3692, 85, 2176, 1094
166-829|803|517, 806, 354, 153
167-3875|239, 249, 14, 1678, 936|2579
168-156|171, 94, 41, 206, 1706|206, 5, 163, 227, 397, 572, 44, 41, 3691, 645
169-1216|1714, 1081, 1713, 1466|1092, 52, 1096, 1081, 221, 47, 15, 32, 107
170-1097|715, 852, 39, 206, 645, 1715, 1252, 5|206, 5, 723, 39, 305, 1068, 1067, 1070, 952, 1065
171-868|400, 1621, 47|47, 371
172-168|6, 5|5, 6, 1060, 618, 645, 13, 707, 1337, 189, 1397
173-471|546|49, 47, 126, 45, 546, 542, 102, 511, 371
174-2369|142, 342|342, 142
175-2378|1755, 1751, 1347|1761, 1751, 2682
176-2343|239, 659|659, 239
177-2182|1111, 1757|1111
178-2362|1755, 1761|1347, 1751, 2682, 768
179-3319|810, 582|189, 582, 319, 2150
180-3819|1590, 976|968, 2545, 2544
181-890|50, 228, 713, 879, 887, 1426|228, 50, 887, 888, 909, 350, 713
182-2412|354, 1099, 237|237, 354, 2224
183-895|659, 1787|702, 342, 325
184-4352|1790|
185-2394|107, 595, 869, 1791, 2296, 455, 843, 1036, 47|35, 595, 49, 1036, 1773, 596, 130, 687
186-1891|246|47, 49, 1770, 52, 498, 246, 94, 794, 117, 1129
187-651|52, 308|52, 787, 92, 2680, 697, 696, 695
188-2059|764, 1267, 567, 1800, 1801, 1667, 706|706, 1667, 567, 764
189-2425|239, 446, 1789, 1210|1789
190-135|62, 1762, 638, 409|6, 62, 63, 2, 1094, 2104, 1691, 3658
191-161|1803, 781, 217, 240, 241, 13, 54|240, 13, 241, 217, 239, 913, 6, 5, 2528, 2527
192-551|206|206, 397, 5, 582, 213, 163, 704, 171, 1183, 1901
193-4159|1558|746, 649
194-29|141, 79, 1808, 42|72, 74, 68, 76, 67, 26, 42, 2204, 1421, 79
195-3532|141|68
196-2459|1821, 1207, 1820|1822, 1240
197-1968|52|52, 1426, 1820, 1819, 208
198-4353|117, 306, 971, 84, 64|
199-4353|214, 971, 405, 84, 64|
200-245|120, 88, 140|396, 140, 120, 2577, 117
201-1561|1833, 550, 1298, 1294|1299, 1298, 1297, 1296, 1293, 107
202-4354|1434, 1590, 836, 2634|
203-1989|45, 342, 35, 654, 2382, 68|1836, 970, 35, 353, 1841, 253, 1838, 342, 45, 47
204-2488|1448, 1845|858, 1434, 177, 1453, 1448
205-3599|1450, 113|113, 753, 353, 63, 858, 1129, 2213, 488, 2235
206-758|378, 1808, 582|582, 721, 189, 732, 239, 484
207-17|14, 49|49, 14, 45, 247, 47, 254, 246, 79, 4, 171
208-2486|1344|1844, 1435, 1845, 1453, 1434
209-2055|64, 596, 29, 858, 335, 64, 250, 64|1659, 858, 60, 2593
210-341|50, 51, 493|51, 50, 493
211-234|377, 378, 254, 1854|254, 65, 153, 379, 380, 1353, 297, 93, 26, 64
212-3889|1828, 1129, 1855, 149|1888, 2599, 1330, 2600, 208
213-1773|254|808, 124, 254
214-3122|669|669, 965, 2692, 2777
215-2983|732, 582, 1862, 470|965, 1094
216-1461|1554, 666, 556, 32, 365, 1043, 632|470, 2601, 582, 576, 1183
217-1601|48, 1667|1956, 1955, 1148, 1332, 509, 1787, 1037, 48, 1656, 986
218-2398|1077, 219, 114, 1769, 47, 49|47, 114, 45, 26, 49, 219, 1798, 2671
219-404|963, 1878, 404|221, 66, 404, 479, 6, 40, 278, 107, 295
220-4160|654, 1881, 1447|449, 466, 2061
221-3329|1884, 1650, 1173|1650, 756, 1173, 1060, 13
222-3880|153, 11|2594, 1434
223-1421|1892, 6, 939, 5|939, 5, 6, 717, 970, 3694, 267, 31, 461, 39
224-3574|935, 60, 68, 1897, 91|389, 2577, 60, 106, 1029, 1610
225-3837|1939, 94|35, 455, 1130, 335, 206, 2676, 47, 38, 389, 353
226-694|638, 3610, 3609|713, 638, 3610, 3609, 17, 149, 712, 2775, 308, 178
227-61|60, 29, 1898, 372|47, 59, 49, 79, 60, 692, 475, 371, 1160, 188
228-3876|1930, 436, 46|512, 638
229-2082|206, 5|397, 5, 206, 163, 171, 105, 1813, 1808, 398, 1706
230-3530|1270|1270, 913, 2128, 239, 208, 1094
231-1467|794, 1196, 38, 47|38, 1196, 59, 47
232-156|711, 206, 40, 397, 5|206, 5, 397, 163, 227, 572, 44, 41, 645, 48
233-2582|1909|
234-65|122, 600, 2513, 54|122, 117, 121, 111, 107, 201, 2513, 454, 359, 280
235-1402|939|206, 939, 1060, 1829, 147, 6, 1831, 306, 1830, 341
236-4352|685, 713, 1914|
237-1644|370|179, 370, 1224, 47, 1225, 1353, 359, 679, 1222, 106
238-1778|707, 1472, 1917|906, 5, 6, 1473, 230, 1472, 1891, 245, 1723, 247
239-347|14|727, 247, 728, 266, 510, 85, 509, 634, 1094
240-1560|889, 6, 5|645, 119, 94
241-640|50, 85, 39, 103|39, 5, 970, 4, 1184, 645, 1576, 382, 948
242-2821|1933|1923
243-116|342, 1629|64, 254, 511, 42, 93, 26, 147, 182, 45, 60
244-3822|736|2577, 171, 815, 281
245-3312|1940, 1942, 654, 1938|1938, 179, 1942, 1941, 1940, 1939, 654
246-3311|1940, 1941, 179, 1938|179, 798, 1939, 1943, 1938
247-3310|179, 1938|1938, 179, 1939
248-3267|32, 32, 824, 824, 1934, 1936, 1935|1933, 824, 1936, 1935, 1934, 32
249-4160|2061, 466, 449|449, 466, 2061
250-2933|965|965
251-1625|590|1345, 582, 117
252-1531|335|1259, 189
253-781|713, 1799|746, 749, 6, 3609
254-1498|319, 582, 189|412, 189, 417, 732, 651, 2213, 464, 603, 1367, 1353
255-751|240|240, 668, 1808, 163, 247, 1094, 628, 5, 1406, 6
256-1790|1957, 1956|2568, 84, 2569, 191, 1864, 1487, 1499
257-2473|3500, 35, 3622|1836, 970, 2676, 636, 2618, 35, 181
258-3448|2056, 2057, 1971, 2029|2029, 1971, 2057, 2056
259-3430|1971, 2012|2010, 654, 2008, 818
260-3370|1969, 1970|1970, 1969
261-661|85, 32, 1988|103, 402, 1394, 575, 1396, 1891, 245, 85, 1079, 952
262-3787|98|892, 490, 14, 98, 466
263-837|32, 237|838, 806, 237, 65, 837
264-3427|179|1983, 179, 1970
265-3357|1864|2158, 2568, 192, 2569, 1966
266-1434|107|1182, 462
267-1416|2077, 14|1087, 247, 1094
268-169|369|254, 1259, 841, 369, 189, 12, 10, 390, 26, 45
269-1629|154|1347, 768, 1147
270-1517|794, 198, 1420, 1697|1697, 796, 52, 1694, 1389, 2114
271-3476|2080|2080, 2082
272-3474|2082, 2080|2080
273-3474|2082, 2080|2080
274-234|469, 2083, 42|42, 1857, 469, 378, 377, 379, 380, 1353, 297, 1949
275-2803|248, 1710, 1747|1923
276-3476|198, 2080|2080, 2082
277-269|6, 5|181, 49, 64, 47, 107, 21, 20, 111, 480, 483
278-2406|595, 35|596, 1077, 2382, 1096, 47, 49, 891, 843, 308, 1776
279-276|106, 62, 107, 410, 2, 4, 122, 408, 523, 188, 477, 49|49, 408, 188, 2, 62, 63, 106, 410, 122, 4
280-1381|208, 2469|48, 49, 596, 1137
281-1857|175|175, 623, 1271, 794
282-2575|188|189, 188, 929, 144, 29
283-490|87|14, 93, 107, 106, 645, 5, 26, 64, 6, 45
284-1721|29, 1009, 254|1430, 390, 1425, 1259, 1882, 1881, 654, 1880, 339, 1590
285-3312|1450, 35, 1942, 654, 1394, 2850|179, 1942, 1941, 1940, 1939, 1938, 654
286-3817|596, 46, 2542|2542, 1347, 46, 596
287-533|45|426, 45, 49, 1237, 6, 117, 47, 65, 369, 542
288-1508|826|1053, 302, 605
289-3470|1761|1347, 2200, 1751, 1755, 768
290-1966|117, 2107, 1281, 2108, 1283|1283
291-2069|172, 45, 29, 463, 683, 1347, 1059, 73, 103, 179, 5|672, 186, 181, 1678, 2627
292-2090|1420|1420, 6, 50, 206, 1717, 1715, 39
293-1788|1114|20, 65, 1114, 1507, 1505
294-3459|35, 1366, 5|35, 184, 715
295-1805|2, 79, 113|189, 582, 319, 1517, 1491, 1492
296-3874|359|2579, 49, 47, 2072, 1823
297-2432|1457, 3, 57, 15, 1747|491, 485, 57, 1457, 759, 1253, 659, 1747, 15, 56
298-110|1094|52, 175, 2680, 65, 795, 1540, 1549, 221, 717, 116
299-3855|2117, 304|2801, 304, 2117, 242, 2565, 280, 2566
300-1297|902, 217, 2118, 2119, 32|1124, 874, 94, 1122, 1954, 1577, 1094
301-1319|1277|732, 340, 94, 1122, 655, 582
302-71|1631|47, 131, 130, 133, 132
303-2063|659, 313, 660|1671, 1670, 1669, 764, 1923
304-3873|171, 2096|2096, 1537, 1094, 1389, 2114
305-3531|2132, 2133, 179|
306-1061|239, 999, 582, 1000, 813|817, 1002, 732, 813, 1000, 582, 999, 239, 189, 319
307-3229|110|965
308-4353|2, 971|
309-2101|64, 1111, 142, 342, 1724|64, 1724, 342, 1111, 142
310-878|247|1348, 85, 35, 728, 94, 1127, 717, 254, 1961, 1965
311-3808|93|42, 45, 138, 93, 41, 395, 163, 531, 648
312-3504|206, 2146|206, 2109, 92
313-3801|1946|1946, 1427, 2687, 42, 93, 26, 179
314-1682|49|6, 418, 654, 1597
315-502|1145|14, 32, 65, 94, 478, 1698
316-2512|1009, 1620|1009, 64, 40, 192, 191
317-2023|2117, 304|1608, 1610, 1606, 1630
318-1915|469, 436, 2151|835, 12, 6, 112, 502, 436
319-1100|906, 527|1019, 1018, 1129, 2213
320-806|801|782, 779, 826
321-1952|1597|1597, 1394, 654
322-187|1094|1540, 6, 5, 267, 264, 263, 186, 118, 106
323-2058|195, 1664|308, 1665, 1664, 1663, 195, 50, 1094
324-1943|905|1591, 903, 905
325-65|2513|45, 117, 122, 49, 126, 17, 121, 111, 201, 359
326-810|826|782, 779, 803
327-2520|93|254
328-4159|102, 2160, 2161, 2164|746, 649
329-2868|2172|965
330-1673|645, 978, 14|1397, 618, 645, 1060
331-428|50, 126, 511, 246|122, 49, 126, 396, 419, 454, 2213, 45, 106, 35
332-388|32, 717|189, 717, 500, 1005, 1004, 482, 40, 485, 32, 735
333-68|125, 122, 22|122, 117, 22, 127, 125, 107, 49, 64, 126, 45
334-2481|402, 38|1199, 1038, 35, 298, 6, 253, 38, 402, 662
335-3579|79|79, 664, 68, 42, 179, 72, 2207
336-3547|1610, 1029|1610, 2605, 228, 68, 2585, 2584
337-2361|1752, 768, 1755, 1751, 2200, 1347|1347, 768, 1752, 686, 1761
338-3578|1610, 2201|1610, 2202, 228
339-26|1161|1161, 70, 65, 69
340-2829|2311|1923
341-119|50, 128, 713, 47|47, 128, 1641, 50, 49, 1459, 1637, 1640, 1209, 542
342-420|2206, 48, 65, 84|135, 48, 84, 32, 65, 30, 700, 296, 985, 984
343-1023|2211|949, 85, 103, 402, 282, 731, 15, 997, 405, 996
344-1832|228, 2212|1610, 2605, 228, 863
345-3663|2213, 335, 301, 158, 1129, 654|2213, 2287, 2286, 2285, 2288, 1129, 2231
346-3612|2213, 574, 2068|2213, 52, 308, 350, 1129, 353, 17, 2065, 2122, 217
347-3588|2213, 2238, 501|2213, 137, 2, 2238, 146, 501, 221, 2480, 635, 1129
348-3645|29, 144|2213, 144, 1129, 742, 918, 29, 2320, 587, 2477, 381
349-3708|2362, 2213, 2363, 2364, 2365, 2366, 2353|2213, 2365, 2353, 2366, 2364, 2363, 2362, 424, 2376, 157
350-3765|67, 2213, 1359, 1141, 23|2213, 23, 1141, 67, 1359, 2499, 1915
351-3692|2213, 1229, 2235|2235, 1229, 2213, 2230, 2429, 1776, 2478, 1659, 2593, 1453
352-911|505, 902, 903, 266|266, 903, 902, 897, 505, 1570
353-3628|1915, 2213, 512, 2466, 2126|2213, 2126, 512, 441, 18, 2516, 1915, 2466, 2250, 2230
354-3679|2213, 1084, 548|2213, 548, 2341, 1236, 48, 2342, 1129, 582, 687, 2235
355-3662|2492, 2459, 2213|2213, 2321, 2459, 177, 2493, 2486, 737, 2492, 2414, 2244
356-3737|2231, 2422, 2213|2213, 2422, 2494, 103, 2458, 2055, 2515, 2230
357-1405|886, 2213, 144|2213, 1532, 2318, 1129, 133, 144, 886, 405, 1161
358-3592|2213, 72, 2322|2213, 72, 2322, 404, 2427, 214, 2426, 199, 1915, 2271
359-3754|85, 2463|2213, 2463, 85, 266, 2515, 1776
360-3737|2458, 2213, 103|2213, 2422, 2494, 103, 2055, 2515, 2458, 2230
361-2479|35|1836, 35, 755, 1158, 6, 715
362-1928|2, 454, 2106, 313, 35, 717|717, 35, 313, 2106, 454, 2, 189, 221, 286, 3694
363-276|2213, 408, 1129, 49|49, 408, 2213, 1129, 63, 188, 2, 62, 410, 454
364-2453|1346, 35, 2518|1346, 2518, 35, 1602
365-1154|1592|45, 26, 93, 42, 2152, 64, 621, 252, 213, 1040
366-3767|2213|2213, 2386, 2383, 2384
367-783|432, 2521, 759, 582, 755, 163|163, 759, 758, 757, 756, 113, 755
368-966|841|128, 634, 1116, 1115, 64, 894
369-3324|2523|1832, 582, 189, 319
370-1252|1410|728, 1118
371-3825|154, 568, 898, 512, 149|568, 149, 512, 898, 154, 1855
372-3784|1848|2535, 1447, 2263, 1942, 2534
373-3455|295, 2530, 2167, 2163, 2164, 2160, 2166|2167, 2166, 2164, 2163, 2161, 2160, 295, 1816, 298, 801
374-725|63, 2531|163, 5
375-4355|1854, 14, 2532, 1236|
376-2583|835, 1795|1942, 546, 388, 382, 654, 206, 1158, 1780, 910, 344
377-3789|216, 345|501, 345
378-1889|52, 2008, 501|713, 52, 1540
379-103|45, 254, 64, 26, 167, 93|45, 49, 167, 64, 254, 1946, 93, 26, 1066, 453
380-2072|1664, 5|965, 951, 94, 171, 1074
381-9|34, 6, 24, 36|36, 24, 963, 746, 6, 4, 463, 26, 964, 659
382-798|1485, 1482, 1514|776, 463, 1514, 1482, 1485
383-1146|968, 1425|45, 5, 254, 1029, 645, 242, 1094, 171, 469
384-3811|2544, 2545, 968|2544, 2545, 968, 1716, 242
385-4045|2549|511, 107
386-1817|1170, 79, 163, 188|79, 94, 1170, 1493, 1492, 1502
387-2450|191|64, 191, 1864, 40, 192, 1815, 3657, 5, 163, 1813
388-3826|141, 1239, 242, 253, 1838, 236, 298, 35|35, 242, 737
389-1886|794, 52|794, 51, 50, 150, 1544, 2207, 1540, 795
390-2364|1754|1754
391-2479|35|1836, 35, 755, 1158, 6, 715
392-1065|1006|1006, 913, 659, 568, 241
393-458|2, 6, 906, 250, 259|645, 2, 906, 6, 13, 704, 717, 1060, 85, 538
394-3871|687, 1047, 511|181, 517
395-2000|715, 32|838, 1423, 282, 512, 35, 2155
396-4077|29, 339, 2553|2782, 2781, 3615, 3614
397-4116|500, 1173, 189|1100, 6, 94, 500, 1015, 1094
398-3847|179|1158, 2558
399-3853|484, 2558|484, 1200
400-3852|2561|2558, 2561
401-3322|2570, 81|2570, 189, 582, 319, 519, 2063, 1543, 15, 1094
402-3859|141, 1696, 341, 280, 2106, 2565, 1346, 1620|
403-2425|659, 1789|1789
404-739|2568|553, 84, 48, 2113, 1694, 1690, 700, 1129, 1148, 1862
405-981|50, 29, 85, 144, 361|1632, 68, 47, 226, 225, 1682, 1631, 253, 35, 246
406-3915|107|2641
407-3915|2574|2641
408-4355|2533, 247, 2532|
409-855|853, 851, 665|93, 254, 704, 45, 853, 665, 851, 1060, 252, 383
410-3539|2436, 2268, 1129|144, 29, 1129, 1776, 1915, 2250, 501, 2008, 405, 493
411-190|1129|1037, 1870, 1129, 2213, 1915, 134, 6, 5, 136, 188
412-1353|1915, 1776, 978, 14|14, 1476, 2213, 667, 625, 1094, 2515, 247, 2230, 913
413-821|35|35, 2518, 102, 512, 1337, 1602, 6, 2213, 833, 1366
414-3789|216, 768|501, 345
415-2368|117, 92, 1734|342, 920, 92, 1275, 48, 142
416-1033|2579|936, 956, 1263, 672, 937, 645, 305, 955, 952, 935
