0-3909|2, 3, 353, 335, 396|1589, 2
42-2087|107, 1121, 542, 47, 5, 49|49, 5, 47, 64, 542, 113, 1044
43-2472|715, 1835, 806, 1837|418, 6, 1597, 1837, 1836, 207, 35, 620, 1835
44-1985|654|717, 26, 970, 3696, 1399, 3692, 1616
45-1770|247, 1060, 939|206, 926, 14, 84, 31, 29, 208, 1094, 1901, 5
46-801|582, 1183|582, 965, 1309, 1094, 245, 551, 189, 319, 1292
47-212|343, 348, 85, 154, 2567, 1185, 147, 970, 64, 422, 296, 1190, 22|22, 343, 344, 342, 341, 147, 1341, 107, 297
48-233|47, 353|47, 49, 67, 374, 246, 372, 370, 59, 376, 375
49-1422|172, 672, 4, 5|672, 1297, 645, 608, 5, 172, 1060
50-526|247, 621|14, 189, 247, 621, 267, 461, 13, 3692, 85, 1094
51-602|1197|47, 423, 1218, 360, 1217, 1197, 50, 49, 253
52-4083|2553, 467|3615, 2782, 2781
53-14|114, 1200, 609, 49|49, 48, 47, 46, 246, 242, 35, 23, 1632, 281
54-83|567|126, 45, 49, 35, 47, 153, 511, 50, 1096, 1769
55-1289|141, 45, 733, 242, 167|68, 242, 800, 45, 2154, 141, 1858, 1239, 1256, 1571
56-653|14, 22|22, 582, 363, 698, 111, 64, 357, 445, 295, 21
57-1477|1202|1923, 1202
58-1189|1077, 282, 342, 45, 32|207, 1383, 1077, 2618, 35, 1763, 253, 418, 342, 45
59-109|645|5, 6, 1060, 645, 2213, 926, 311, 1094, 171, 752
60-2661|179|1923, 2699, 2695
61-1222|707, 217, 1893, 1102, 110|1102, 5, 425, 1891, 245, 1893, 6, 707, 110, 898
62-2076|117, 107, 83, 79, 47, 68, 49|163, 17, 45, 59, 246, 79
63-3503|1053|826
64-1866|898, 706, 1543, 717|1758, 2836, 592, 1543, 943, 655, 898, 906, 482, 705
65-1542|1068, 305, 936|305, 1068, 875
66-361|61, 1689|61, 1427, 63, 45, 72, 6, 524
67-456|79, 84, 278|21, 84, 655, 368, 1634, 1704, 1682, 1707, 1698, 582
68-632|106, 305, 936|305, 952, 106, 1260, 684, 163, 685
69-407|50, 51, 487, 1074, 5|52, 5, 50, 487, 580, 794, 51, 696, 501, 15
70-3875|239, 249, 14, 1678|2579
71-607|62, 1266, 560, 1268, 311|560, 512, 2
72-1370|271, 1274, 225, 963, 812, 500, 273, 1150, 1181|1150, 906, 1404, 1410, 1916, 1149, 717
73-1966|1285, 1281, 1284, 1280, 1283, 396|1283
74-4039|1286|2749, 1286, 2741, 184
75-2467|1368, 1588, 1292, 1294|1294, 1588, 1307, 1833, 1457, 1368, 1675
76-918|687|517, 1485, 266, 354, 342
77-3340|426, 388, 1332, 553|1094, 1956, 553, 426, 1038, 32
78-984|1207, 768, 85, 198|198, 5, 768, 1883, 240, 14, 645, 13, 2603, 130
79-381|117, 79, 213, 357, 457|79, 84, 1809, 40, 318, 1807, 1631, 1572, 1571, 1492
80-1028|41, 39, 5, 6|206, 39, 242, 933
81-1527|141, 45, 254, 1426|68, 219, 1255, 93
82-110|50, 51, 52, 175|52, 175, 65, 221, 717, 116, 970, 267, 2581, 354
83-1105|1339, 1337, 1023, 13|1023, 1337, 13, 14, 383, 1802, 1339, 1604, 117, 45
84-1475|1341, 188, 22|22, 582, 2630, 40, 84
85-2443|1811, 582, 703, 655, 1534|1811, 655, 412, 1809, 651, 1807, 414
86-268|49|49, 47, 1037, 63, 2, 144, 29, 1060, 1200, 52
87-1641|254, 604, 556, 1219, 26, 42, 1259, 124|1427, 319, 1259, 1355, 254, 1353
88-323|65, 84, 40|65, 40, 84, 1148, 721, 479, 14, 478, 107, 102
89-2531|498|98
90-3948|239, 324, 855|1094
91-427|106, 1077, 1060, 1201|47, 49, 45, 5, 130, 645, 6, 968, 83, 247
92-3302|1240|965, 1094
93-1744|354|189, 2829, 917, 335, 354, 3692, 29, 1454
94-3884|117, 2, 1392, 6, 1393, 1212, 756, 5, 660, 746|3611, 280
95-1145|6, 1099, 5, 418|645, 35, 1048, 715, 926, 1798, 2671, 6, 5, 1715
96-3948|401, 298, 239, 103, 85, 962, 2977|1094
97-388|30, 32|189, 735, 717, 482, 500, 1356, 1923, 32, 1667, 1005
98-780|247, 1397, 645, 14|14, 645, 189, 3694, 267, 461, 13, 3692, 85, 1181
99-1953|1398|116, 354, 221, 189, 3697, 3692, 616
100-1424|1401, 323, 5, 6|323, 1094, 1060, 241, 2635, 568, 6, 5, 671, 645
101-2402|181|512, 1323, 113, 1099, 50
102-2027|1416, 60, 774, 206, 1419, 1413|206, 256, 774, 1266, 39, 64, 654
103-2015|342, 38|64, 35, 1608, 253, 1606, 1039, 388
104-804|748, 1437, 339|1435, 1433, 32, 1470, 1469, 1468, 1318, 319, 2757, 42
105-3882|1440, 107|717, 286, 970, 267, 1399, 14, 461, 3692, 85, 1578
106-460|432, 588, 589|966, 72, 339, 2213, 189, 582, 319, 932, 78, 589
107-2486|1448, 1762|1453, 1434, 1844, 1435, 1845
108-1282|565|1556, 565, 811, 794, 641
109-1210|1080, 107, 952, 1462, 1091, 14, 1460, 1466, 1092, 1067|1092, 1091, 1081, 1079, 2689, 1466, 107
110-804|1469|1435, 1433, 32, 1470, 1469, 1468, 1318, 319, 2757, 42
111-1360|1580, 1144|1144, 13, 5, 6, 1136
112-1541|137, 2, 935, 1475, 6, 305, 111, 98, 936|1962, 98, 111, 305, 6, 935, 2, 137, 2580, 2435
113-3331|231, 14, 898|1094, 14
114-816|340, 810, 32|112, 128, 628, 32, 810, 340, 781, 809
115-934|1510|527, 965, 898, 1389, 2114, 906, 1536
116-971|903|903, 290, 1105, 219, 1045
117-1597|114, 188, 47, 49|49, 1331, 246, 47, 176, 94, 409, 163, 542, 188
118-845|845|47, 5, 810
119-407|1797, 52, 557, 5|52, 5, 50, 487, 580, 794, 51, 696, 501, 15
120-1583|1526, 133|2519, 498, 116, 2, 1312, 1313
121-1571|64, 6|6, 1781, 64, 1099
122-205|21, 64, 155|22, 42, 325, 155, 64, 21, 20, 107, 291, 336
123-850|50, 142, 14|156, 14, 50, 142, 242, 846, 849, 848, 844
124-639|59, 499, 49|499, 49, 1776, 1775, 1077, 6, 1489, 1503, 1511, 59
125-1873|1900, 63, 32, 26|63, 1094, 32
126-719|241, 13, 1060|13, 16, 241, 624, 645, 1094, 239, 794, 281, 913
127-4161|1037, 1267, 1032|3674, 1238, 582, 2832
128-256|725|1094, 22, 336
129-615|673|673, 920, 659, 618, 342, 1292
130-948|903, 266|903, 266, 897, 15, 342
131-385|94, 419|79, 543
132-3564|107, 1557, 1564, 1099, 498, 1566|1099, 1557, 634, 1566, 498, 1564, 107, 2170, 2161, 184
133-1914|835, 2801|1199, 620, 910, 2617, 835
134-1255|1547, 1347|1389, 2114, 1109
135-938|915|2189, 299, 565, 737
136-1421|1582, 645, 939|939, 5, 6, 717, 970, 3694, 267, 31, 461, 39
137-1188|93|254, 93, 881, 64
138-396|29, 337, 313|618, 932, 1094, 655, 179, 340, 189, 1007, 1005, 735
139-4302|3642, 1352, 3643|3643, 3642, 337, 107, 224
140-448|49, 1050, 1382, 79, 388|79, 47, 1382, 388, 59, 38, 1050, 130, 78, 1033
141-1193|1595|141, 167, 1597, 402, 728
142-4054|282, 620, 2621, 2607, 1942, 1157|2840, 2663, 620
143-4352|8, 685|
144-1147|774, 206|206, 1266, 863, 774, 223, 181, 1346, 1699, 1049, 39
145-1023|72, 1406, 98, 221|3620, 3640, 3635, 3634, 3627, 3626, 21, 3618, 23, 3631
146-1546|1283|1283, 1053, 32, 2108, 2107, 733, 117, 396, 1284, 1280
147-1517|208|796, 1389, 2114, 1697, 52, 1694
148-1704|112, 14|14, 514, 676, 1753, 587, 286, 1060, 207, 1100, 870
149-1777|29, 85|1094, 1471
150-804|45|1435, 1433, 32, 1470, 1469, 1468, 1318, 319, 2757, 42
151-3508|1613, 1604, 85, 649, 402, 35, 103|35, 402, 156, 1015
152-2028|1606, 466, 1610, 1608, 1029|1608, 1610, 1606, 1029, 466, 1425, 1630
153-435|2151, 47, 68|47, 45, 49, 253, 46, 1565, 1563, 1562, 94, 1559
154-3457|107, 1606, 253, 1608, 1425|103, 85, 800, 298, 342, 45
155-525|107, 1631, 1090, 47, 49|1090, 1631, 1698, 49, 47, 542, 620, 497
156-1344|1649, 135, 47|135, 47, 2688, 1125, 876
157-66|123, 311, 20, 366, 278, 21, 64, 127, 124, 22|22, 123, 396, 2809, 311, 366, 170, 124, 64, 0
158-2044|6|14, 977, 1647, 6
159-2094|193, 1717, 177|1763, 1762, 177, 858
160-1607|188, 189|188, 144, 29, 2, 189, 79, 717, 568, 461, 6
161-1285|335|254, 1425, 45, 546, 1354, 124, 1117
162-222|85, 726, 14, 361|717, 1137, 645, 361, 85, 1094, 1161, 1060
163-1921|341, 154, 1665, 40, 344|644, 2, 835, 188, 94
164-1384|485, 206, 1666, 105, 1236|206, 1145, 1183, 582, 732, 32, 1060, 105
165-3566|128|189, 717, 425, 917, 461, 335, 3692, 85, 1648, 1094
166-829|803|806, 354, 802, 782, 353, 517, 153
167-3875|239, 249, 14, 1678, 936|2579
168-156|171, 94, 41, 206, 1706|206, 397, 5, 3691, 645, 48, 79, 572, 44, 41
169-1216|1714, 1081, 1713, 1466|1092, 1096, 1081, 221, 47, 15, 32, 107, 52
170-1097|715, 852, 39, 206, 645, 1715, 1252, 5|206, 5, 39, 1060, 723, 852, 305, 1068, 1067, 1070
171-868|400, 1621, 47|47, 371
172-168|6, 5|5, 6, 645, 618, 189, 13, 707, 1060, 1397, 1337
173-471|546|126, 45, 49, 47, 371, 546, 511, 102, 542
174-2369|142, 342|342, 142
175-2378|1755, 1751, 1347|1751, 2682, 1761
176-2343|239, 659|659, 239
177-2182|1111, 1757|1111
178-2362|1755, 1761|1347, 1751, 2682, 768
179-3319|810, 582|2150, 189, 582, 319
180-3819|1590, 976|968, 2545, 2544
181-890|50, 228, 713, 879, 887, 1426|228, 887, 50, 888, 909, 350, 713
182-2412|354, 1099, 237|237, 354, 2224, 1099
183-895|659, 1787|325, 702, 342
184-4352|1790|
185-2394|107, 595, 869, 1791, 2296, 455, 843, 1036, 47|35, 595, 49, 1036, 1773, 596, 130, 687
186-1891|246|47, 49, 794, 52, 1770, 408, 1066, 59, 1129, 1769
187-651|52, 308|52, 2680, 787, 92, 697, 696, 695
188-2059|764, 1267, 567, 1800, 1801, 1667, 706|706, 1667, 567, 764, 1801, 1800, 1267
189-2425|239, 446, 1789, 1210|1789
190-135|62, 1762, 638, 409|6, 62, 2104, 1691, 3658, 1094, 63, 2
191-161|1803, 781, 217, 240, 241, 13, 54|240, 13, 241, 6, 2528, 2527, 2526, 1094, 913, 5
192-551|206|206, 397, 5, 163, 582, 3691, 213, 398, 1901, 1266
193-4159|1558|746, 649
194-29|141, 79, 1808, 42|68, 72, 74, 26, 76, 67, 15, 1259, 377, 42
195-3532|141|68
196-2459|1821, 1207, 1820|1822, 1820, 1207, 1821, 1240
197-1968|52|52, 1822, 1240, 1426, 1820, 1819, 208
198-4353|117, 306, 971, 84, 64|
199-4353|214, 971, 405, 84, 64|
200-245|120, 88, 140|2577, 117, 396, 140, 120
201-1561|1833, 550, 1298, 1294|1299, 1298, 1297, 1296, 1293, 107
202-4354|1434, 1590, 836, 2634|
203-1989|45, 342, 35, 654, 2382, 68|253, 1836, 970, 35, 353, 1841, 47, 38, 39, 106
204-2488|1448, 1845|858, 177, 1434, 1448, 1453
205-3599|1450, 113|753, 2235, 113, 1129, 2213, 488, 353, 63, 858
206-758|378, 1808, 582|582, 732, 239, 484, 189, 721
207-17|14, 49|49, 14, 247, 47, 45, 246, 254, 93, 665, 79
208-2486|1344|1453, 1434, 1844, 1435, 1845
209-2055|64, 596, 29, 858, 335, 64, 250, 64|2593, 1659, 858, 60
210-341|50, 51, 493|51, 50, 493
211-234|377, 378, 254, 1854|254, 153, 379, 65, 1353, 380, 377, 93, 26, 64
212-3889|1828, 1129, 1855, 149|1888, 2599, 1330, 2600, 208
213-1773|254|808, 124, 254
214-3122|669|965, 2777, 2692, 669
215-2983|732, 582, 1862, 470|965, 1094
216-1461|1554, 666, 556, 32, 365, 1043, 632|470, 2601, 582, 576, 1183
217-1601|48, 1667|1956, 1955, 1148, 1787, 1037, 48, 1656, 986, 1332, 509
218-2398|1077, 219, 114, 1769, 47, 49|47, 114, 49, 219, 45, 26, 1798, 2671, 1769, 1077
219-404|963, 1878, 404|404, 963, 221, 66, 479, 6, 40, 278, 107, 295
220-4160|654, 1881, 1447|449, 466, 2061
221-3329|1884, 1650, 1173|1650, 756, 1173, 1060, 13
222-3880|153, 11|2594, 1434
223-1421|1892, 6, 939, 5|939, 5, 6, 717, 970, 3694, 267, 31, 461, 39
224-3574|935, 60, 68, 1897, 91|389, 2577, 60, 106, 1029, 1610
225-3837|1939, 94|35, 206, 2676, 47, 38, 389, 353, 1423, 184, 455
226-694|638, 3610, 3609|713, 149, 638, 3610, 712, 3609, 17, 2775, 308, 1343
227-61|60, 29, 1898, 372|47, 60, 59, 692, 49, 1160, 163, 2676, 2, 106
228-3876|1930, 436, 46|512, 638
229-2082|206, 5|5, 206, 397, 64, 35, 171, 163, 3691, 1094, 644
230-3530|1270|1094, 1270, 913, 2128, 239, 208
231-1467|794, 1196, 38, 47|38, 1196, 59, 47
232-156|711, 206, 40, 397, 5|206, 397, 5, 3691, 645, 48, 79, 572, 44, 41
233-2582|1909|1909
234-65|122, 600, 2513, 54|122, 117, 121, 107, 201, 111, 45, 49, 600, 359
235-1402|939|939, 206, 1060, 1173, 2690, 1094, 1901, 5, 645, 14
236-4352|685, 713, 1914|
237-1644|370|47, 170, 169, 370, 791, 1646, 1645, 1224, 1408, 50
238-1778|707, 1472, 1917|5, 6, 906, 717, 425, 970, 461, 13, 3692, 85
239-347|14|727, 1094, 634, 247, 728, 266, 510, 85, 509
240-1560|889, 6, 5|645, 119, 94
241-640|50, 85, 39, 103|39, 5, 645, 948, 1576, 382, 970, 4, 1184
242-2821|1933|1932, 1923, 1933
243-116|342, 1629|64, 45, 517, 945, 254, 511, 42, 93, 26, 147
244-3822|736|815, 2577, 171, 281
245-3312|1940, 1942, 654, 1938|1938, 654, 179, 1942, 1941, 1940, 1939
246-3311|1940, 1941, 179, 1938|179, 798, 1939, 1943, 1938
247-3310|179, 1938|1938, 179, 1939
248-3267|32, 32, 824, 824, 1934, 1936, 1935|1933, 824, 1936, 1935, 1934, 32
249-4160|2061, 466, 449|449, 466, 2061
250-2933|965|965
251-1625|590|1345, 117, 582
252-1531|335|1259, 189
253-781|713, 1799|3609, 746, 749, 6
254-1498|319, 582, 189|2213, 2349, 2124, 2348, 1367, 412, 1132, 464, 1129, 1354
255-751|240|1094, 240, 668, 1808, 628, 5, 1406, 6, 1256, 306
256-1790|1957, 1956|2568, 84, 2569, 191, 1864, 1487, 1499
257-2473|3500, 35, 3622|2676, 636, 2618, 35, 181, 1836, 970
258-3448|2056, 2057, 1971, 2029|2029, 1971, 2057, 2056
259-3430|1971, 2012|654, 2010, 2008, 818, 1971, 899
260-3370|1969, 1970|1970, 1969
261-661|85, 32, 1988|103, 402, 1394, 575, 1396, 775, 1891, 245, 85, 1471
262-3787|98|892, 490, 14, 98, 466
263-837|32, 237|838, 806, 237, 65, 837
264-3427|179|1983, 179, 1970
265-3357|1864|2158, 2568, 192, 2569, 1966
266-1434|107|1182, 462
267-1416|2077, 14|1094, 1087, 247
268-169|369|254, 1259, 390, 1923, 1425, 12, 26, 10, 45, 1254
269-1629|154|768, 1347, 1147
270-1517|794, 198, 1420, 1697|796, 1389, 2114, 1697, 52, 1694
271-3476|2080|2080, 2082
272-3474|2082, 2080|2080
273-3474|2082, 2080|2080
274-234|469, 2083, 42|254, 153, 379, 65, 1353, 380, 377, 93, 26, 64
275-2803|248, 1710, 1747|1923
276-3476|198, 2080|2080, 2082
277-269|6, 5|49, 181, 47, 64, 21, 20, 107, 111, 480, 125
278-2406|595, 35|47, 596, 1077, 2382, 1096, 418, 600, 6, 126, 1597
279-276|106, 62, 107, 410, 2, 4, 122, 408, 523, 188, 477, 49|49, 408, 63, 1129, 188, 2, 2213, 144, 62, 29
280-1381|208, 2469|48, 49, 596, 1137
281-1857|175|175, 623, 1271, 794, 1118, 795, 1549
282-2575|188|189, 188, 929, 144, 29
283-490|87|14, 93, 107, 106, 1060, 252, 247, 645, 5, 26
284-1721|29, 1009, 254|254, 851, 1299, 295, 1949, 469, 93, 1882, 1881, 654
285-3312|1450, 35, 1942, 654, 1394, 2850|1938, 654, 179, 1942, 1941, 1940, 1939
286-3817|596, 46, 2542|2542, 1347, 46, 596
287-533|45|426, 47, 45, 65, 369, 49, 1237, 6, 117, 542
288-1508|826|826, 1053, 302, 605
289-3470|1761|768, 1347, 2200, 1751, 1755
290-1966|117, 2107, 1281, 2108, 1283|1283
291-2069|172, 45, 29, 463, 683, 1347, 1059, 73, 103, 179, 5|1678, 2627, 672, 186, 181
292-2090|1420|1420, 206, 1717, 6, 50, 1715, 39
293-1788|1114|20, 65, 1114, 1507, 1505
294-3459|35, 1366, 5|35, 184, 715
295-1805|2, 79, 113|189, 582, 319, 1517, 1491, 1492
296-3874|359|49, 47, 2072, 1823, 2579
297-2432|1457, 3, 57, 15, 1747|57, 1457, 1747, 15, 491, 485, 3, 56, 759, 1253
298-110|1094|52, 175, 65, 221, 717, 116, 970, 267, 2581, 354
299-3855|2117, 304|2801, 304, 2117, 242, 2565, 280, 2566
300-1297|902, 217, 2118, 2119, 32|1094, 1954, 1577, 1124, 874, 94, 1122
301-1319|1277|655, 582, 732, 340, 94, 1122
302-71|1631|47, 131, 130, 133, 132
303-2063|659, 313, 660|1923, 1671, 1670, 1669, 764
304-3873|171, 2096|1389, 2114, 1094, 2096, 1537
305-3531|2132, 2133, 179|179, 2133, 2132
306-1061|239, 999, 582, 1000, 813|582, 189, 319, 817, 1002, 732, 813, 1000, 999, 239
307-3229|110|965
308-4353|2, 971|
309-2101|64, 1111, 142, 342, 1724|64, 1724, 342, 1111, 142
310-878|247|1127, 35, 728, 94, 402, 2754, 1094, 2176, 717, 254
311-3808|93|45, 138, 93, 41, 395, 63, 42, 163, 531, 648
312-3504|206, 2146|2109, 92, 206
313-3801|1946|1946, 1427, 2687, 42, 93, 26, 179
314-1682|49|6, 418, 1597, 654
315-502|1145|14, 32, 478, 1698, 65, 94
316-2512|1009, 1620|64, 40, 192, 191, 1009
317-2023|2117, 304|1608, 1610, 1606, 1630
318-1915|469, 436, 2151|12, 6, 112, 502, 436, 835
319-1100|906, 527|2213, 1129, 1019, 1018
320-806|801|826, 782, 779
321-1952|1597|1597, 1394, 654
322-187|1094|1540, 6, 5, 267, 264, 263, 186, 118, 106
323-2058|195, 1664|1094, 308, 1665, 1664, 1663, 195, 50
324-1943|905|1591, 903, 905
325-65|2513|122, 117, 121, 107, 201, 111, 45, 49, 600, 359
326-810|826|803, 782, 779
327-2520|93|93, 254
328-4159|102, 2160, 2161, 2164|746, 649
329-2868|2172|965
330-1673|645, 978, 14|1060, 1397, 618, 645
331-428|50, 126, 511, 246|122, 49, 126, 45, 2213, 127, 106, 396, 454, 35
332-388|32, 717|189, 735, 717, 482, 500, 1356, 1923, 32, 1667, 1005
333-68|125, 122, 22|122, 117, 22, 127, 125, 107, 49, 64, 126, 45
334-2481|402, 38|38, 402, 662, 1199, 1038, 35, 298, 6, 253
335-3579|79|79, 664, 68, 42, 179, 72, 2207
336-3547|1610, 1029|1610, 2605, 228, 68, 2585, 2584
337-2361|1752, 768, 1755, 1751, 2200, 1347|1761, 1347, 768, 1752, 686
338-3578|1610, 2201|1610, 2202, 228
339-26|1161|1161, 70, 65, 69
340-2829|2311|1923
341-119|50, 128, 713, 47|47, 128, 1641, 49, 50, 542, 713, 622, 170, 169
342-420|2206, 48, 65, 84|135, 48, 32, 700, 65, 84, 64, 40, 192, 191
343-1023|2211|3620, 3640, 3635, 3634, 3627, 3626, 21, 3618, 23, 3631
344-1832|228, 2212|1610, 2605, 228, 863
345-3663|2213, 335, 301, 158, 1129, 654|2213, 2287, 2286, 2285, 2288, 2231, 1129
346-3612|2213, 574, 2068|2213, 52, 1129, 350, 308, 1915, 17, 353, 1697, 2065
347-3588|2213, 2238, 501|2213, 2238, 137, 2, 501, 146, 1129, 63, 221, 2480
348-3645|29, 144|2213, 144, 1129, 918, 2320, 742, 29, 587, 2477, 2476
349-3708|2362, 2213, 2363, 2364, 2365, 2366, 2353|2213, 2365, 2362, 2353, 2366, 2364, 2363, 157, 1882, 424
350-3765|67, 2213, 1359, 1141, 23|2213, 23, 1141, 67, 2499, 1915, 1359
351-3692|2213, 1229, 2235|1229, 2235, 2213, 2593, 1453, 2429, 1776, 2230, 2478, 1659
352-911|505, 902, 903, 266|266, 903, 902, 1570, 505, 897
353-3628|1915, 2213, 512, 2466, 2126|2213, 2126, 512, 441, 18, 2516, 1915, 1696, 2230, 2466
354-3679|2213, 1084, 548|2213, 1236, 548, 2195, 2341, 48, 2342, 1129, 582, 2554
355-3662|2492, 2459, 2213|2213, 2321, 2459, 2493, 2486, 177, 737, 2492, 1344, 2414
356-3737|2231, 2422, 2213|2213, 2422, 2494, 103, 2515, 2230, 2458, 2055
357-1405|886, 2213, 144|2213, 2318, 1129, 1532, 133, 405, 144, 886, 1161
358-3592|2213, 72, 2322|2213, 72, 404, 2322, 214, 2427, 199, 1915, 2426, 1810
359-3754|85, 2463|2213, 2463, 85, 266, 2515, 1776
360-3737|2458, 2213, 103|2213, 2422, 2494, 103, 2515, 2230, 2458, 2055
361-2479|35|755, 1158, 6, 715, 1836, 35
362-1928|2, 454, 2106, 313, 35, 717|717, 313, 189, 35, 221, 286, 3694, 103, 2581, 3697
363-276|2213, 408, 1129, 49|49, 408, 63, 1129, 188, 2, 2213, 144, 62, 29
364-2453|1346, 35, 2518|1346, 2518, 35, 1602
365-1154|1592|93, 45, 26, 736, 42, 64, 621, 2152, 252, 213
366-3767|2213|2213, 2386, 2383, 2384
367-783|432, 2521, 759, 582, 755, 163|163, 759, 757, 518, 758, 756, 113, 755
368-966|841|128, 634, 1116, 1115, 64, 894
369-3324|2523|582, 1832, 189, 319
370-1252|1410|1118, 728
371-3825|154, 568, 898, 512, 149|568, 1855, 149, 512, 898, 154
372-3784|1848|2535, 1447, 2263, 1942, 2534
373-3455|295, 2530, 2167, 2163, 2164, 2160, 2166|2167, 2166, 2164, 2163, 2161, 2160, 295, 1816, 298, 801
374-725|63, 2531|163, 5
375-4355|1854, 14, 2532, 1236|
376-2583|835, 1795|1942, 1039, 206, 39, 388, 382, 654, 1158, 1780, 910
377-3789|216, 345|501, 345
378-1889|52, 2008, 501|713, 52, 1540
379-103|45, 254, 64, 26, 167, 93|254, 45, 1946, 1947, 49, 167, 64, 453, 889, 1066
380-2072|1664, 5|965, 1074, 951, 94, 171
381-9|34, 6, 24, 36|36, 24, 963, 463, 26, 4, 1389, 2114, 746, 6
382-798|1485, 1482, 1514|776, 1514, 1482, 1485, 463
383-1146|968, 1425|45, 1094, 5, 254, 171, 469, 1029, 645, 242
384-3811|2544, 2545, 968|2544, 2545, 968, 1716, 242
385-4045|2549|511, 107
386-1817|1170, 79, 163, 188|79, 94, 1170, 1493, 1492, 1502
387-2450|191|64, 191, 1815, 3657, 40, 192, 1864, 5, 163, 1813
388-3826|141, 1239, 242, 253, 1838, 236, 298, 35|35, 242, 737
389-1886|794, 52|794, 51, 50, 795, 2207, 150, 1544, 1540
390-2364|1754|1754
391-2479|35|755, 1158, 6, 715, 1836, 35
392-1065|1006|1006, 241, 913, 659, 568
393-458|2, 6, 906, 250, 259|645, 906, 1060, 6, 2, 1410, 13, 704, 425, 707
394-3871|687, 1047, 511|517, 181
395-2000|715, 32|838, 2155, 1423, 282, 512, 35
396-4077|29, 339, 2553|3614, 3615, 2782, 2781
397-4116|500, 1173, 189|1094, 1100, 6, 94, 500, 1015
398-3847|179|1158, 2558
399-3853|484, 2558|1200, 484
400-3852|2561|2558, 2561
401-3322|2570, 81|2570, 1094, 2063, 1543, 15, 519, 189, 582, 319
402-3859|141, 1696, 341, 280, 2106, 2565, 1346, 1620|1346, 2565, 2106, 280, 1696, 141
403-2425|659, 1789|1789
404-739|2568|553, 48, 1094, 32, 2651, 2568, 2573, 84, 2113, 1129
405-981|50, 29, 85, 144, 361|1632, 226, 225, 1129, 2106, 1682, 68, 47, 1631, 253
406-3915|107|2641, 655, 142
407-3915|2574|2641, 655, 142
408-4355|2533, 247, 2532|
409-855|853, 851, 665|853, 45, 383, 665, 851, 1094, 5, 453, 968, 93
410-3539|2436, 2268, 1129|144, 29, 1129, 1776, 1915, 2250, 501, 2008, 405, 493
